Valor;Moneda;Año;Trimestre
33.960,00;Pesos Ley;1978;3
31.089,00;Pesos Ley;1978;2
23.272,00;Pesos Ley;1978;1
17.152,00;Pesos Ley;1977;4
13.160,00;Pesos Ley;1977;3
11.747,27;Pesos Ley;1977;2
8.758,74;Pesos Ley;1977;1
6.866,24;Pesos Ley;1976;4
7.306,99;Pesos Ley;1976;3
9.144,53;Pesos Ley;1976;2
